dt_TERAPIAINTENSIVA,terapia intensiva,deceduti,deceduti/terapia intensiva 35gg
2021-03-29,331,127.0,0.39851401553529214
2021-03-30,309,116.0,0.4018401380103508
2021-03-31,262,105.0,0.4027908067542214
2021-04-01,238,93.0,0.4054312716832157
2021-04-02,267,88.0,0.4100392734413353
2021-04-03,209,86.0,0.4108624591400553
2021-04-04,192,83.0,0.41449312604394195
2021-04-05,180,84.0,0.4171819497434548
2021-04-06,228,94.0,0.4205962059620596
2021-04-07,206,81.0,0.4248266296809986
2021-04-08,196,80.0,0.4275783799120443
2021-04-09,177,76.0,0.43029510103212676
2021-04-10,176,88.0,0.43242840095465396
2021-04-11,131,78.0,0.43513431013431014
2021-04-12,165,78.0,0.44110671936758894
2021-04-13,181,92.0,0.44870534251065225
2021-04-14,150,81.0,0.44955991875423157
2021-04-15,134,53.0,0.45261324041811846
2021-04-16,146,73.0,0.45918552036199095
2021-04-17,108,53.0,0.46417212347988773
2021-04-18,102,61.0,0.46774816531479335
2021-04-19,131,67.0,0.47144278606965173
2021-04-20,156,75.0,0.4801898472967396
2021-04-21,126,63.0,0.48448788780280494
2021-04-22,122,58.0,0.4863507316007862
2021-04-23,113,58.0,0.48604599240901986
2021-04-24,115,65.0,0.48991421284488756
2021-04-25,102,45.0,0.49411764705882355
2021-04-26,136,68.0,0.4992563212692117
2021-04-27,123,63.0,0.5021689206430212
2021-04-28,114,53.0,0.502496714848883
2021-04-29,116,58.0,0.49797789161499056
2021-04-30,110,66.0,0.49916573971078976
2021-05-01,95,44.0,0.49870204788001155
2021-05-02,93,45.0,0.4980706441080439
2021-05-03,116,66.0,0.5016804155209288
2021-05-04,129,60.0,0.5020420986490732
2021-05-05,95,46.0,0.5027269810715431
2021-05-06,85,40.0,0.5008220979940808
2021-05-07,88,46.0,0.49796195652173914
2021-05-08,69,39.0,0.49929078014184397
2021-05-09,65,30.0,0.49725776965265084
2021-05-10,80,34.0,0.4971537001897533
2021-05-11,62,30.0,0.4966627404789949
2021-05-12,58,26.0,0.49225122349102773
2021-05-13,65,36.0,0.4943205721497686
2021-05-14,62,30.0,0.4951584507042254
2021-05-15,62,32.0,0.49402023919043236
2021-05-16,35,13.0,0.4947115384615385
2021-05-17,52,26.0,0.49469964664310956
2021-05-18,52,26.0,0.48918205804749343
2021-05-19,52,30.0,0.4898407468423943
2021-05-20,38,17.0,0.49052268811028144
2021-05-21,56,29.0,0.4853836784409257
2021-05-22,42,22.0,0.4869281045751634
2021-05-23,26,17.0,0.48418156808803303
2021-05-24,34,10.0,0.4840810419681621
2021-05-25,32,17.0,0.4808868501529052
2021-05-26,41,15.0,0.4744408945686901
2021-05-27,22,8.0,0.4716193656093489
2021-05-28,25,13.0,0.47513321492007105
2021-05-29,20,7.0,0.47610294117647056
2021-05-30,27,13.0,0.4784276126558006
2021-05-31,31,18.0,0.4726166328600406
2021-06-01,25,12.0,0.4714747039827772
2021-06-02,20,8.0,0.4689655172413793
2021-06-03,17,9.0,0.4714285714285714
2021-06-04,24,13.0,0.46984924623115576
2021-06-05,21,9.0,0.46808510638297873
2021-06-06,13,7.0,0.4604519774011299
2021-06-07,17,9.0,0.4581497797356828
2021-06-08,17,8.0,0.4498432601880878
2021-06-09,19,5.0,0.445364238410596
2021-06-10,13,5.0,0.43611584327086883
2021-06-11,14,6.0,0.44661921708185054
2021-06-12,13,4.0,0.44090056285178236
2021-06-13,11,1.0,0.4484848484848485
2021-06-14,8,4.0,0.45073375262054505
2021-06-15,24,13.0,0.4517543859649123
2021-06-16,13,7.0,0.4601366742596811
2021-06-17,8,3.0,0.4600484261501211
2021-06-18,5,2.0,0.45153061224489793
2021-06-19,3,2.0,0.45187165775401067
2021-06-20,5,1.0,0.45429362880886426
2021-06-21,8,4.0,0.44857142857142857
