,med,lo_68,hi_68,lo_95,hi_95
2021-05-10,42.72388059701492,17.463111111111107,62.78074074074074,3.0794642857142858,80.81029411764705
2021-05-11,41.1808510638298,16.84695652173913,61.001142857142874,2.4210000000000003,80.10535714285717
2021-05-12,41.156862745098046,17.381176470588237,60.73900000000002,2.8113636363636365,79.70384615384626
2021-05-13,42.00943396226414,17.050491803278685,61.65241379310342,3.2546875,81.5924999999999
2021-05-14,42.69642857142857,17.42625,61.30193548387097,2.858823529411765,78.76363636363637
2021-05-15,43.55681818181819,17.21181818181818,61.11151515151515,2.8340909090909094,81.47812499999995
2021-05-16,41.083333333333336,17.60470588235294,59.371999999999986,3.9916666666666663,78.15714285714283
2021-05-17,42.073170731707314,17.31,61.82428571428572,4.14375,81.15454545454551
2021-05-18,41.988095238095234,17.48608695652174,60.73714285714286,3.797727272727273,81.52812499999996
2021-05-19,40.894736842105274,16.298750000000002,59.28000000000003,4.046428571428572,80.72500000000012
2021-05-20,42.07142857142857,17.241428571428575,61.56888888888886,3.3468750000000007,83.80624999999982
2021-05-21,41.453125,17.663529411764706,59.871999999999986,3.6906250000000003,78.38611111111105
2021-05-22,41.890243902439025,18.713846153846156,59.497600000000006,4.920833333333333,78.49166666666667
2021-05-23,40.91176470588235,17.52740740740741,58.02714285714287,2.9416666666666673,76.84166666666671
2021-05-24,40.51724137931035,16.228,59.0504347826087,2.6235294117647063,80.93999999999998
2021-05-25,40.45238095238096,17.434285714285718,60.36500000000001,3.2958333333333334,82.7041666666667
2021-05-26,39.96296296296296,17.71076923076923,58.71157894736843,2.4200000000000004,79.45000000000012
2021-05-27,40.02631578947369,18.097600000000003,57.6457142857143,4.528125,81.38750000000009
2021-05-28,42.23529411764706,19.07764705882353,59.69142857142858,3.9750000000000005,82.55
2021-05-29,40.909090909090914,17.886896551724135,58.01555555555556,2.6500000000000004,80.36249999999994
2021-05-30,39.775,18.16521739130435,59.13749999999999,3.6624999999999996,80.67500000000007
2021-05-31,39.29411764705882,17.246153846153845,57.60833333333331,2.3928571428571432,78.25
2021-06-01,41.047619047619065,17.88222222222222,60.34333333333333,2.921428571428572,81.19374999999994
2021-06-02,38.52777777777778,17.829473684210527,56.76999999999999,2.8468750000000003,78.24499999999998
2021-06-03,38.28947368421053,18.31478260869565,57.86823529411764,2.802777777777778,78.35499999999998
2021-06-04,38.648148148148145,17.756923076923076,57.89777777777777,3.1483333333333334,80.12916666666663
2021-06-05,39.71875,19.112499999999997,58.51666666666666,4.125,81.18749999999999
