età,tutti,maschi,femmine
86.0,0.019857705871494866,0.027300870075107574,0.015381424052274023
87.0,0.02176616460501964,0.03003956579080856,0.01710174106019355
88.0,0.023242078508205602,0.0317314083800772,0.018685212078722018
89.0,0.02459705956975176,0.03357648573267539,0.02013525668787687
90.0,0.029575328614762385,0.04016625397948355,0.024646032268686204
91.0,0.030978257203186876,0.04307761631181706,0.02580694861720977
92.0,0.03263493528214677,0.043291044129121756,0.02838538665437363
93.0,0.03642832404521268,0.04698145158114441,0.03259407640578051
94.0,0.03873330519666172,0.05024987643473008,0.03493718547481988
95.0,0.040773419109058566,0.051097107281147976,0.03757239041386129
96.0,0.04236736072574614,0.054451723767586724,0.03886606920587503
97.0,0.04774418128455395,0.0630409929772987,0.04370335217222486
98.0,0.04542801556420233,0.05315697529323683,0.0435570591433577
99.0,0.04984725430295805,0.05812574139976275,0.04792508262945281
