,med,lo_68,hi_68,lo_95,hi_95
2020-09-19,43.078947368421055,20.290434782608695,64.77666666666664,2.8022727272727277,87.725
2020-09-20,44.03846153846154,20.104,67.06857142857143,2.975,85.01500000000004
2020-09-21,42.809523809523796,19.775,63.683333333333316,3.875,83.03571428571428
2020-09-22,42.107142857142854,19.87272727272727,62.21818181818182,2.968749999999999,83.73214285714285
2020-09-23,42.85937499999999,19.65806451612903,63.82105263157895,3.0138888888888897,84.83653846153841
2020-09-24,42.78125,19.68,63.05000000000001,3.25,85.59090909090916
2020-09-25,39.39393939393939,17.595897435897438,61.87555555555556,2.0350000000000006,82.60833333333323
2020-09-26,42.305555555555564,19.986666666666665,66.10909090909092,3.0125,85.31250000000001
2020-09-27,43.87499999999999,18.81714285714286,69.02333333333333,3.1425,86.9392857142857
2020-09-28,40.77941176470589,17.955200000000005,62.856296296296314,3.1125,85.90416666666677
2020-09-29,38.72222222222222,18.445714285714285,61.98000000000001,3.1928571428571426,84.73571428571434
2020-09-30,39.96666666666666,17.853714285714286,63.15846153846153,3.8325,85.4593749999999
2020-10-01,40.1375,18.016000000000002,62.98133333333336,3.772916666666667,85.22708333333343
2020-10-02,40.702127659574465,17.04327868852459,63.79857142857143,2.936111111111111,85.5958333333333
2020-10-03,39.53030303030303,15.737674418604652,63.341111111111125,3.1187500000000004,84.72343750000003
2020-10-04,44.15384615384616,18.433846153846154,68.25846153846156,4.03888888888889,88.51666666666664
2020-10-05,42.23880597014926,17.14984126984127,65.46400000000003,3.955769230769231,88.62619047619049
2020-10-06,41.258064516129025,17.495238095238093,63.55294117647054,4.0,85.72222222222211
2020-10-07,40.387323943661976,17.15722222222222,63.15781818181817,4.354464285714286,84.846052631579
2020-10-08,40.06249999999999,18.101304347826087,63.07215686274507,4.208695652173914,86.36428571428564
2020-10-09,39.94845360824741,17.510877192982456,63.076799999999984,3.8242857142857143,86.31346153846151
2020-10-10,41.41772151898735,17.093777777777778,64.35836734693878,5.311842105263159,86.33750000000002
2020-10-11,41.958333333333336,16.916363636363634,67.22399999999999,4.211538461538462,88.32812500000004
2020-10-12,41.10583941605839,17.215403726708075,63.48611764705879,4.922159090909091,86.08562499999995
2020-10-13,42.03649635036494,17.79518072289157,64.39560439560434,5.0227272727272725,87.23333333333318
2020-10-14,40.31493506493507,16.89685279187817,62.25836734693878,4.976020408163266,84.64833333333337
2020-10-15,41.138728323699425,17.82490272373541,63.11764705882354,5.865740740740741,86.68902439024399
2020-10-16,41.23295454545454,17.164366812227076,62.85202614379084,5.558333333333334,85.9197916666666
2020-10-17,41.124277456647405,16.90142857142857,63.73655172413791,5.566044776119403,86.16845238095235
2020-10-18,43.29473684210526,17.459622641509434,67.28068965517237,4.843333333333335,87.15416666666648
2020-10-19,41.92173913043478,17.855639097744362,63.55402298850574,6.5,86.19491525423737
2020-10-20,41.94280442804427,18.67609375,63.338531073446305,6.693863636363636,85.88274647887323
2020-10-21,42.71036585365854,19.493582554517133,64.11317972350228,6.775490196078431,86.66914893617016
2020-10-22,42.16581632653062,18.81179331306991,63.34026200873365,6.715530303030303,86.0781690140846
2020-10-23,42.71954314720812,18.82455927051672,63.91622047244096,6.565039062500001,86.47720588235293
2020-10-24,42.764179104477606,18.36937728937729,64.41166666666666,6.236475409836066,86.14671052631579
2020-10-25,45.16931216931218,19.864594594594596,68.58380952380956,6.373275862068965,87.91696428571433
2020-10-26,43.909188034188034,19.828383233532936,65.01680933852141,6.804411764705883,87.07500000000002
2020-10-27,43.97233201581027,19.364411027568924,64.58071428571425,6.861111111111111,86.62601626016247
2020-10-28,44.13300492610837,20.407521367521365,64.75591836734694,6.804761904761905,86.40612244897953
2020-10-29,44.19316239316239,20.343696202531643,64.61697674418602,7.219252873563218,86.00801886792449
2020-10-30,44.33868378812199,20.143083700440528,64.77369272237198,6.941290322580646,85.94625850340132
2020-10-31,45.01884700665189,19.34829931972789,67.03188405797101,6.330035971223022,87.47821100917432
2020-11-01,46.75221238938053,21.180848484848486,69.735625,6.58452380952381,88.0140625
2020-11-02,45.58021806853583,21.454074074074075,66.53894736842103,6.963204225352113,86.95513245033104
2020-11-03,45.38709677419355,20.943835051546394,66.24822299651571,6.812637362637362,86.77636363636371
2020-11-04,45.84987113402061,21.637862595419847,66.62177083333334,7.221976744186047,86.7812146892656
2020-11-05,46.193029490616624,21.829322709163346,67.31479876160986,7.031057268722467,87.0891061452513
2020-11-06,46.1222076215506,22.016635160680533,67.00057803468209,7.153765690376569,86.94161676646704
2020-11-07,46.40747663551402,21.247420289855075,68.56329411764705,6.250862068965517,87.64580419580417
2020-11-08,48.015100671140935,22.19764705882353,71.37964071856288,7.034793814432989,88.8167808219178
2020-11-09,46.89526542324246,22.744615384615383,67.93775280898875,6.791818181818182,87.40329341317361
2020-11-10,46.92233632862645,22.471032967032965,68.46863768115944,6.770549738219896,88.0531081081081
2020-11-11,47.307228915662655,23.100408163265307,69.10747922437672,7.166035353535354,88.18301104972375
2020-11-12,47.33470507544582,23.033058568329718,69.43769863013699,7.034466019417477,88.14153005464487
2020-11-13,47.605337078651694,22.876424116424115,69.91318181818184,6.819505494505495,88.71101694915261
2020-11-14,47.32875457875458,22.15388379204893,69.50828897338403,6.422596153846154,87.53183593750002
2020-11-15,49.365800865800864,23.757685950413226,73.89443037974686,6.695408163265306,89.69578651685406
2020-11-16,48.42638483965015,23.64388888888889,71.04814589665658,6.616619318181818,89.36892857142865
2020-11-17,47.81393775372125,23.844466019417474,69.66792682926825,7.266554054054054,87.98895939086293
2020-11-18,48.122462787550745,24.01124735729387,70.21207100591717,7.373271276595744,88.60445945945946
2020-11-19,47.899350649350644,23.53453681710214,69.98871508379887,7.298265895953757,88.29693251533746
2020-11-20,48.22712680577848,23.60372093023256,71.15619718309858,6.691206896551725,89.02419871794875
2020-11-21,47.46666666666667,22.194008097165995,70.1549090909091,6.235922330097088,88.13193277310926
2020-11-22,48.73163841807909,22.03657142857143,73.35340659340656,6.149500000000001,88.91948529411758
2020-11-23,48.14760147601476,23.128689655172415,71.1565991902834,6.31744966442953,89.10888888888896
2020-11-24,48.54858657243816,23.706174496644298,71.39494736842104,6.561879432624114,89.15017241379314
2020-11-25,48.26870078740157,23.383378378378378,71.79132686084144,6.833262711864407,89.83439393939396
2020-11-26,48.673780487804876,23.408589743589747,71.955503875969,6.7180894308943095,89.56964285714285
2020-11-27,47.60348837209302,22.337482517482517,71.09846153846154,6.085261194029851,89.1950396825397
2020-11-28,47.39164086687306,21.374374999999997,71.80771929824564,5.540801886792453,89.35134408602156
2020-11-29,49.53571428571428,21.70409638554217,75.81949999999998,4.999324324324325,90.49103773584899
2020-11-30,48.574074074074076,22.5128624535316,72.35178082191783,5.548893805309735,90.09815573770493
2020-12-01,48.34306569343065,22.854827586206895,72.537094017094,6.070805369127518,90.03317307692309
2020-12-02,48.435960591133004,22.897796610169493,72.74938388625593,5.96743119266055,90.12207207207203
2020-12-03,47.73360655737706,22.377669902912626,71.61521739130437,6.112623762376238,89.41477272727278
2020-12-04,47.85335195530726,22.121869158878507,72.02959999999997,6.031666666666667,89.48895833333331
2020-12-05,47.7116935483871,21.142391304347825,72.4211180124224,5.261075949367089,89.98324742268048
2020-12-06,50.15350877192983,22.542352941176475,75.65122807017543,5.478225806451613,90.57937500000001
2020-12-07,48.077445652173914,22.37049504950495,72.40588957055216,5.148595505617979,89.91091269841276
2020-12-08,48.47560975609756,21.46974358974359,72.90449999999998,5.925000000000001,89.34276315789474
2020-12-09,48.04675324675325,23.045123152709362,71.7492156862745,5.8197530864197535,89.72999999999999
2020-12-10,48.07268170426066,22.774545454545457,71.84178217821787,6.390277777777778,89.82804878048785
2020-12-11,47.57478005865103,21.881272727272727,72.04833333333332,5.802105263157895,89.69022556390979
2020-12-12,47.24999999999999,21.293827160493827,70.62833333333333,4.996794871794872,88.78636363636357
2020-12-13,50.625,22.706122448979592,76.38490566037734,5.316964285714286,90.64919354838707
2020-12-14,47.52923076923077,21.974509803921567,71.84972972972972,5.5675,89.85250000000005
2020-12-15,47.78419452887538,22.539715639810428,72.41972972972974,5.385106382978723,90.11134020618553
2020-12-16,47.720538720538705,22.5034554973822,71.77614457831322,5.526760563380283,89.450505050505
2020-12-17,47.0,22.128453608247423,71.02344827586207,6.039285714285715,89.15568181818179
2020-12-18,47.722222222222214,22.4189010989011,71.09548387096774,5.958505154639176,89.05843023255812
2020-12-19,47.11790393013101,21.659710144927534,71.04065573770491,5.401428571428571,89.57605633802815
2020-12-20,48.51724137931034,21.542337662337665,74.2341666666667,4.110714285714287,89.86428571428573
2020-12-21,47.22948328267477,22.345968586387436,70.37367741935486,5.148579545454545,88.92591463414638
2020-12-22,47.30298507462687,22.44770642201835,70.01611374407582,5.543055555555556,88.40125
2020-12-23,47.692837465564736,22.587389162561575,70.87505376344089,5.761893203883496,88.78592436974793
2020-12-24,46.975265017667844,21.672820512820515,70.51751724137931,5.204109589041097,88.94657534246575
2020-12-25,49.6764705882353,22.982222222222223,74.37647058823526,4.819444444444444,89.51136363636358
2020-12-26,47.94370860927152,21.81013333333333,72.05299999999997,5.271527777777778,89.24952830188677
2020-12-27,48.40073529411765,22.180500000000002,72.30622222222223,5.06875,88.79402173913044
2020-12-28,46.85479452054795,22.611320754716978,69.43783783783785,5.830645161290323,88.53735632183907
2020-12-29,46.713615023474176,22.418181818181818,69.34801444043319,5.904545454545455,87.85887096774185
2020-12-30,46.919023136246786,22.24319391634981,69.72485829959514,5.958168316831683,87.59354166666665
2020-12-31,46.72929936305732,21.676379310344828,70.40172839506171,5.8244897959183675,88.35624999999995
2021-01-01,48.15822784810127,21.74169491525424,73.93627118644069,5.036607142857144,89.72905405405407
2021-01-02,46.392857142857146,20.51569230769231,70.67409395973152,5.287777777777778,88.75125
2021-01-03,48.570754716981114,22.112359550561795,72.48717948717947,5.173780487804878,88.62771739130434
2021-01-04,46.23486682808716,21.55059649122807,69.50881355932204,5.688495575221239,87.90560000000004
2021-01-05,46.72027972027973,22.066202090592334,70.32824427480918,6.11923076923077,88.73076923076931
2021-01-06,47.25000000000001,21.172549019607846,71.77142857142856,5.503205128205128,88.43287037037037
2021-01-07,46.21590909090908,21.272267657992565,69.66196891191706,5.796363636363637,88.13980582524268
2021-01-08,46.44011976047904,20.86208955223881,70.17714285714287,5.633944954128441,87.99902912621366
2021-01-09,45.80918727915195,19.709072164948452,69.68800000000002,4.9232876712328775,87.562962962963
2021-01-10,47.36231884057971,19.715384615384618,72.89014084507045,4.484848484848485,89.34000000000003
2021-01-11,47.0031545741325,20.954082840236687,71.27012345679012,5.66930693069307,89.24000000000002
2021-01-12,46.96678321678322,21.19589189189189,70.74706586826346,5.187962962962962,88.38468750000001
2021-01-13,46.80308880308881,20.41953488372093,70.95661971830988,5.046428571428571,88.80958904109598
2021-01-14,47.11272727272728,20.07809523809524,71.96675324675324,5.157228915662651,89.34178082191777
2021-01-15,46.75208333333334,19.71754601226994,70.2954098360656,5.017134831460675,88.39343750000006
2021-01-16,46.25409836065573,18.898407079646017,70.35695238095236,4.469485294117647,89.14816176470586
2021-01-17,47.51587301587303,18.805806451612902,73.04533333333336,4.03203125,89.5304687500001
2021-01-18,46.54564315352697,19.848857142857142,70.23999999999998,4.1231481481481485,89.09006410256409
2021-01-19,46.676029962546814,19.917567567567566,70.37218543046357,4.647151898734178,88.72379032258063
2021-01-20,46.86682242990654,19.952786885245906,70.71030303030304,4.0839673913043475,88.87929687500001
2021-01-21,46.484162895927604,19.29984251968504,70.22952380952385,4.3863095238095235,88.87983870967754
2021-01-22,46.423728813559315,18.756641221374046,70.00765217391302,3.656435643564356,88.13508771929824
2021-01-23,45.51912568306011,17.651785714285715,69.60204081632652,3.225490196078431,88.66666666666664
2021-01-24,47.07692307692307,17.731162790697674,74.23135135135134,3.2944444444444447,89.2206896551724
2021-01-25,46.03556485355649,18.488345323741008,69.78415094339624,3.5154661016949156,88.39067164179107
2021-01-26,45.457142857142856,18.364109589041092,69.19872,3.5908333333333333,88.19803921568624
2021-01-27,46.128571428571426,18.202857142857145,68.99504424778763,3.2280973451327433,87.41234939759036
2021-01-28,45.07142857142858,18.11580952380952,69.0725925925926,3.6277500000000003,88.0546610169492
2021-01-29,44.02422907488987,16.653066666666668,67.39548387096772,3.4681623931623933,86.78973214285715
2021-01-30,44.239999999999995,15.486363636363638,67.88641975308639,2.9290123456790127,86.53804347826087
2021-01-31,45.147435897435905,16.60218181818182,70.1176,3.7348684210526324,88.05657894736844
2021-02-01,45.2887323943662,17.41512605042017,68.34901960784318,3.4795673076923084,87.0216346153847
2021-02-02,45.02895752895753,16.896870748299317,67.86594594594592,3.4519565217391306,86.97401315789476
2021-02-03,44.59533898305085,17.162666666666663,67.96575757575754,3.8892857142857147,86.57025862068963
2021-02-04,43.916666666666664,16.664203821656052,66.94944444444445,3.7591346153846157,86.38877551020406
2021-02-05,43.95052083333334,16.16241610738255,67.34240000000003,3.705043859649123,86.77500000000006
2021-02-06,43.6863354037267,15.431935483870966,67.01484536082474,3.0558333333333336,85.91336206896553
2021-02-07,45.54166666666666,15.56266666666667,71.96088888888892,3.4470238095238095,88.67916666666687
2021-02-08,44.10381355932203,16.081438848920865,66.86169491525423,3.2358108108108112,86.23031914893615
