dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 21gg
2020-04-24,562,124.0,0.2542436462533996
2020-04-25,431,101.0,0.25118953211736716
2020-04-26,363,116.0,0.24896523178807947
2020-04-27,451,93.0,0.245995670995671
2020-04-28,445,95.0,0.2427548585066485
2020-04-29,419,99.0,0.2409280190362879
2020-04-30,377,88.0,0.23429206270830763
2020-05-01,284,72.0,0.22778717314947314
2020-05-02,249,60.0,0.22050929112181694
2020-05-03,188,44.0,0.2132438739789965
2020-05-04,306,63.0,0.20856524427953
2020-05-05,295,63.0,0.20464203988231447
2020-05-06,298,63.0,0.20030895983522143
2020-05-07,295,47.0,0.19141323792486584
2020-05-08,293,40.0,0.18794726930320152
2020-05-09,184,34.0,0.18418956590999602
2020-05-10,169,28.0,0.179465600673259
2020-05-11,256,39.0,0.1730726505221062
2020-05-12,191,22.0,0.16632207672869287
2020-05-13,203,31.0,0.16135173726796764
2020-05-14,209,27.0,0.1562043795620438
2020-05-15,212,27.0,0.15227272727272728
2020-05-16,139,16.0,0.1450079239302694
2020-05-17,127,19.0,0.13675450762829403
2020-05-18,171,21.0,0.13498379015620396
2020-05-19,157,22.0,0.1341008089607965
2020-05-20,150,27.0,0.13044871794871796
2020-05-21,125,14.0,0.12757475083056477
2020-05-22,136,17.0,0.12378640776699029
2020-05-23,98,14.0,0.12423035132198479
2020-05-24,96,8.0,0.12151993980436418
2020-05-25,156,24.0,0.12145110410094637
2020-05-26,121,9.0,0.11968633924886504
2020-05-27,117,7.0,0.12147134302822926
2020-05-28,83,12.0,0.1201241134751773
2020-05-29,114,13.0,0.11524500907441017
2020-05-30,90,10.0,0.11236483309826047
2020-05-31,59,5.0,0.10495626822157435
2020-06-01,130,12.0,0.10455227613806903
2020-06-02,68,8.0,0.10323574730354391
2020-06-03,100,11.0,0.10276473656755347
2020-06-04,87,12.0,0.10660980810234541
2020-06-05,99,9.0,0.10193905817174516
2020-06-06,54,10.0,0.1036655211912944
2020-06-07,45,6.0,0.10366919044845661
2020-06-08,119,4.0,0.10029154518950437
2020-06-09,80,7.0,0.09487330583382439
2020-06-10,81,4.0,0.09428223844282238
2020-06-11,66,7.0,0.09296636085626911
2020-06-12,84,9.0,0.08971962616822429
2020-06-13,68,10.0,0.08530510585305105
2020-06-14,55,11.0,0.08072590738423029
2020-06-15,85,8.0,0.0750788643533123
2020-06-16,62,6.0,0.07477820025348543
2020-06-17,88,4.0,0.07019783024888322
2020-06-18,81,6.0,0.06881028938906752
2020-06-19,96,2.0,0.07035830618892508
2020-06-20,37,4.0,0.06810740013097577
2020-06-21,50,2.0,0.07029177718832891
2020-06-22,100,4.0,0.06789716545814106
2020-06-23,69,1.0,0.06389986824769434
2020-06-24,92,3.0,0.061155913978494625
2020-06-25,74,2.0,0.056641942009440324
2020-06-26,92,8.0,0.05341446923597025
2020-06-27,43,2.0,0.05323450134770889
2020-06-28,33,3.0,0.051735874744724304
2020-06-29,99,5.0,0.04955264969029594
2020-06-30,72,3.0,0.04954640614096301
2020-07-01,62,6.0,0.04623878536922015
2020-07-02,75,4.0,0.046398891966759004
2020-07-03,85,3.0,0.04708362614195362
2020-07-04,38,4.0,0.047050561797752806
2020-07-05,50,4.0,0.04642857142857143
2020-07-06,81,3.0,0.04974765681326604
2020-07-07,67,6.0,0.047516198704103674
2020-07-08,73,1.0,0.04792560801144492
2020-07-09,65,2.0,0.047042052744119746
2020-07-10,76,1.0,0.04744787922358016
2020-07-11,53,0.0,0.04772079772079772
2020-07-12,45,2.0,0.045871559633027525
2020-07-13,79,4.0,0.04680851063829787
2020-07-14,70,1.0,0.048675733715103794
2020-07-15,68,1.0,0.04567814476458187
2020-07-16,61,6.0,0.04442877291960508
2020-07-17,94,5.0,0.044712562100780694
2020-07-18,52,3.0,0.042523033309709427
2020-07-19,38,2.0,0.04394046775336641
2020-07-20,87,5.0,0.0446491849751949
2020-07-21,85,4.0,0.04580690627202255
2020-07-22,75,4.0,0.050871080139372825
2020-07-23,68,5.0,0.05051903114186851
2020-07-24,72,5.0,0.049795361527967257
2020-07-25,64,1.0,0.05273972602739726
2020-07-26,45,2.0,0.051351351351351354
2020-07-27,72,3.0,0.04845222072678331
2020-07-28,69,3.0,0.04693877551020408
