date,med,lo_68,hi_68,lo_95,hi_95
2020-06-03,68.0,34.4,85.60000000000002,13.25,92.87500000000001
2020-06-04,71.74999999999999,35.6,85.46666666666665,5.125,93.4375
2020-06-05,64.50000000000001,31.36,85.69777777777777,17.15,94.35
2020-06-06,74.5,39.32,85.67999999999999,6.3,91.69999999999999
2020-06-07,58.0,26.04,83.96000000000001,0.10000000000000003,91.95
2020-06-08,59.50000000000001,39.080000000000005,84.184,7.825,91.17499999999995
2020-06-09,63.00000000000001,33.08,85.92,1.6333333333333333,95.1
2020-06-10,62.99999999999999,32.519999999999996,83.49333333333334,0.8000000000000002,88.60000000000002
2020-06-11,64.0,31.92,85.54000000000002,1.5500000000000003,94.45000000000003
2020-06-12,67.49999999999999,31.8,85.73333333333333,7.0,91.66666666666667
2020-06-13,64.83333333333333,33.08,87.92000000000002,1.5750000000000002,92.7125
2020-06-14,74.75,31.48,86.88,0.0,94.67500000000001
2020-06-15,64.75,32.32,80.83999999999999,8.925,91.07499999999999
2020-06-16,71.0,38.28,88.71999999999998,22.45,95.55
2020-06-17,56.0,32.58,82.41999999999999,9.9,91.36666666666666
2020-06-18,61.74999999999999,33.64,85.68,4.975,91.75625000000001
2020-06-19,62.50000000000001,36.92,87.36000000000001,15.175,95.82500000000005
2020-06-20,69.5,25.919999999999998,88.54,0.0,104.075
2020-06-21,62.0,32.0,82.0,25.25,90.91666666666666
2020-06-22,64.0,29.02,82.48,9.35,93.65000000000003
2020-06-23,57.333333333333336,32.96,85.04,1.5500000000000003,90.45000000000003
2020-06-24,58.99999999999999,30.12,80.96999999999998,2.35,88.97499999999997
2020-06-25,47.33333333333333,25.38,81.48000000000003,11.8,94.10000000000002
2020-06-26,50.75000000000001,27.96,84.54000000000002,13.175,91.91250000000004
2020-06-27,59.0,29.86,84.27999999999999,6.05,91.94999999999999
2020-06-28,73.5,32.64,87.36,23.725,92.275
2020-06-29,55.000000000000014,28.54,84.92000000000003,1.2000000000000002,90.60000000000001
2020-06-30,55.333333333333336,29.78,84.48,10.325,91.35000000000002
2020-07-01,59.24999999999999,31.72,85.56000000000002,11.475,92.26250000000002
2020-07-02,51.75000000000001,23.12,85.82000000000001,4.775,94.22500000000002
2020-07-03,65.75,32.980000000000004,86.52,5.025,93.97500000000001
2020-07-04,67.75,33.92,86.27,NaN,94.075
2020-07-05,68.0,31.0,85.75,16.25,90.875
2020-07-06,48.500000000000014,31.0,84.50000000000003,9.875,92.12500000000006
2020-07-07,67.0,30.12,84.88,4.6,91.2
2020-07-08,54.5,32.96,79.06000000000002,7.85,88.65
2020-07-09,53.5,22.38,79.23999999999998,5.525,92.47499999999998
2020-07-10,67.5,33.199999999999996,85.60000000000001,4.25,95.25000000000004
2020-07-11,59.00000000000001,27.32,84.83999999999999,1.3,91.56666666666666
2020-07-12,39.0,21.080000000000002,78.92000000000002,2.95,89.05000000000001
2020-07-13,58.5,29.2,80.26666666666667,1.75,91.25000000000003
2020-07-14,47.0,27.240000000000002,80.75999999999999,NaN,91.7
2020-07-15,52.7,29.2,80.60000000000001,1.8125,91.6875
2020-07-16,56.00000000000001,31.07,84.90666666666667,20.45,93.55
2020-07-17,56.50000000000001,34.04,80.92000000000004,15.2,92.80000000000005
2020-07-18,63.5,30.84,89.05333333333333,19.225,94.925
2020-07-19,51.25,28.46,81.08,NaN,94.075
2020-07-20,49.49999999999999,27.64,80.17999999999999,15.4875,90.025
2020-07-21,55.99999999999999,29.48,80.26,0.9500000000000002,94.05000000000004
2020-07-22,56.0,30.259999999999998,81.48000000000003,1.8000000000000003,94.20000000000005
2020-07-23,58.25,34.4,78.65,14.625,96.18750000000001
2020-07-24,61.000000000000014,30.28,84.14666666666668,11.65,90.67500000000003
2020-07-25,57.49999999999999,22.94,81.23999999999997,4.525,93.47499999999997
2020-07-26,55.75,31.2,80.8,20.125,94.4375
2020-07-27,57.00000000000001,32.56,78.22000000000001,15.65,92.35000000000002
2020-07-28,52.00000000000001,33.56,81.14666666666668,13.65,90.35000000000004
2020-07-29,58.166666666666664,35.8,78.30000000000001,12.625,92.68750000000001
2020-07-30,53.666666666666664,26.62,79.38,0.8,90.2
2020-07-31,51.999999999999986,25.266666666666666,84.2,4.0,93.00000000000001
2020-08-01,62.0,36.22,87.04,14.7,94.30000000000004
2020-08-02,64.5,37.66,85.83999999999999,11.3,94.69999999999999
2020-08-03,54.00000000000002,25.906666666666666,81.57,8.3,90.69999999999996
2020-08-04,55.000000000000014,23.92,81.77000000000001,8.55,90.45000000000005
2020-08-05,55.666666666666664,28.72,83.14,8.1,91.9
2020-08-06,65.0,37.6,83.39999999999999,13.5,93.49999999999997
2020-08-07,57.25,33.34,81.66,3.825,94.17499999999997
2020-08-08,57.0,24.279999999999998,81.72,NaN,97.27499999999999
2020-08-09,51.5,22.76,79.61999999999999,2.525,90.47499999999998
2020-08-10,49.500000000000014,20.68,80.96000000000004,13.35,94.65000000000003
2020-08-11,63.5,30.6,84.39999999999998,NaN,90.49999999999996
2020-08-12,57.75,29.768,84.54,1.7375000000000003,92.76250000000002
2020-08-13,53.75,25.96,85.00999999999999,8.0125,89.99166666666666
2020-08-14,62.75,35.28,83.71999999999997,11.075,92.96249999999999
2020-08-15,59.0,27.12,86.38,4.6,102.2
2020-08-16,57.75000000000001,25.720000000000002,82.27999999999999,5.675,93.1625
2020-08-17,55.0,28.0,79.99999999999997,1.5000000000000002,93.24999999999997
2020-08-18,53.25,33.76,80.74666666666664,16.775,90.22499999999992
2020-08-19,52.00000000000001,24.220000000000002,79.77999999999997,0.33750000000000013,92.32499999999996
2020-08-20,55.00000000000001,27.36,77.97333333333334,18.1,87.80000000000005
2020-08-21,44.5,20.608,74.98000000000002,9.35,89.32500000000002
2020-08-22,50.24999999999999,22.066666666666666,78.89999999999999,13.5,91.99999999999999
2020-08-23,53.00000000000002,24.86,80.13999999999999,16.3,92.84999999999997
2020-08-24,54.333333333333336,23.16,79.84,3.2,90.4
2020-08-25,56.66666666666667,26.360000000000003,81.91,15.65,93.67499999999997
2020-08-26,57.00000000000001,26.669999999999998,83.10666666666667,8.7,94.14999999999999
2020-08-27,55.37499999999999,27.76,81.4799999999999,20.3375,90.33124999999997
2020-08-28,64.0,34.04,80.32000000000001,15.6,87.40000000000002
2020-08-29,54.875,29.72,78.56000000000002,17.725,96.13750000000002
2020-08-30,56.0,34.28,74.44,NaN,90.10000000000002
2020-08-31,56.41666666666667,31.920000000000005,76.84666666666668,1.4250000000000003,91.57500000000007
