date,confirmed,hospitalizations,hospitalizations_/_confirmed_7_days_moving_average
2020-04-12,83,20,0.3462736514251224
2020-04-13,149,67,0.32653590125258963
2020-04-14,81,32,0.3239332946522196
2020-04-15,85,18,0.306173634957076
2020-04-16,69,15,0.34463652441578546
2020-04-17,146,47,0.3241305271942698
2020-04-18,62,19,0.32126456599497527
2020-04-19,49,25,0.35386960801178197
2020-04-20,49,15,0.3609089454859021
2020-04-21,56,21,0.3639002790056113
2020-04-22,75,33,0.35698783660929795
2020-04-23,60,16,0.3256599807916462
2020-04-24,70,24,0.3182478149567892
2020-04-25,62,16,0.28888946144589334
2020-04-26,55,16,0.25368208817400395
2020-04-27,59,15,0.25887689336880915
2020-04-28,59,10,0.2585295203770593
2020-04-29,62,12,0.25227540582801383
2020-04-30,33,10,0.25617150972411773
2020-05-01,47,16,0.26028316397967993
2020-05-02,28,6,0.2717843746334329
2020-05-03,22,7,0.27984889076246516
2020-05-04,53,15,0.2858199312162642
2020-05-05,52,13,0.26218771237127936
2020-05-06,28,7,0.2755315114293641
2020-05-07,29,10,0.2520549879528407
2020-05-08,40,7,0.26656877605153445
2020-05-09,26,8,0.2604111405835542
2020-05-10,26,4,0.2859213446651868
2020-05-11,13,5,0.26263428689537044
2020-05-12,29,6,0.27334857260965617
2020-05-13,21,9,0.26510681436789796
2020-05-14,22,4,0.2950768443379279
2020-05-15,32,8,0.3060658553269389
2020-05-16,28,7,0.32412825269968115
2020-05-17,33,12,0.30754662004662
2020-05-18,13,6,0.3172868797868797
2020-05-19,21,7,0.2934773559773559
2020-05-20,16,5,0.2967241092241092
2020-05-21,20,5,0.3264087103372817
2020-05-22,12,1,0.29856988249845384
2020-05-23,22,6,0.3013710029466331
2020-05-24,7,4,0.30434719342282357
2020-05-25,15,4,0.28161992069555086
2020-05-26,17,6,0.26971515879078894
2020-05-27,9,3,0.23075411982975
2020-05-28,11,1,0.29197860962566835
2020-05-29,7,0,0.3015024191494779
2020-05-30,9,0,0.2714904143475571
2020-05-31,3,3,0.2595856524427952
2020-06-01,3,1,0.2886154461784713
2020-06-02,7,1,0.33623449379751896
2020-06-03,12,3,0.39337735094037607
2020-06-04,17,5,0.27092837134853937
2020-06-05,24,8,0.30123140165156964
2020-06-06,15,6,0.3046327621957873
2020-06-07,7,1,0.3658572519917057
2020-06-08,22,12,0.36616848759705894
2020-06-09,24,4,0.37349449492306624
2020-06-10,28,19,0.3571679643108214
2020-06-11,27,8,0.4558074200931343
2020-06-12,13,5,0.406456770742485
2020-06-13,21,6,0.4302662945520089
2020-06-14,6,5,0.38094656666085236
2020-06-15,5,1,0.3998430141287284
2020-06-16,3,1,0.39846938775510204
2020-06-17,6,2,0.3719387755102041
2020-06-18,14,6,0.34812925170068026
2020-06-19,8,3,0.35765306122448975
2020-06-20,10,1,0.38146258503401353
2020-06-21,6,4,0.38146258503401353
2020-06-22,15,4,0.3916666666666666
2020-06-23,4,2,0.37380952380952376
2020-06-24,9,3,0.3815018315018314
2020-06-25,12,6,0.42912087912087904
2020-06-26,16,4,0.42998667998667994
2020-06-27,13,2,0.43792318792318785
2020-06-28,3,3,0.47821622821622817
2020-06-29,11,3,0.45941923573502513
2020-06-30,9,5,0.4618001881159775
2020-07-01,13,8,0.48377821009399946
2020-07-02,19,7,0.40107144317670623
2020-07-03,30,8,0.3779834200886831
2020-07-04,13,4,0.37004691215217517
2020-07-05,19,8,0.30892053852580154
2020-07-06,9,1,0.2880349913244649
2020-07-07,12,6,0.2763947796842533
2020-07-08,32,6,0.26349463634932735
2020-07-09,18,4,0.2390585461237634
2020-07-10,27,5,0.24359369351605364
2020-07-11,23,5,0.23565718557954568
2020-07-12,12,3,0.25172861415097425
2020-07-13,21,3,0.24855401097637106
2020-07-14,9,4,0.24590850833086844
2020-07-15,10,3,0.2917756846328273
2020-07-16,15,3,0.35606139891854166
2020-07-17,24,4,0.3431720326457168
2020-07-18,13,7,0.3251345146081987
2020-07-19,10,7,0.3037059431796273
2020-07-20,19,1,0.3322773717510558
2020-07-21,22,7,0.36729137735329676
2020-07-22,20,3,0.34078846849744676
2020-07-23,15,6,0.38364561135458963
2020-07-24,17,7,0.39755538579067984
2020-07-25,17,6,0.38067226890756295
2020-07-26,5,5,0.3909897292250233
2020-07-27,20,3,0.3909897292250233
2020-07-28,25,5,0.3702614379084967
2020-07-29,9,2,0.3717893217893217
2020-07-30,20,8,0.2432178932178932
2020-07-31,15,4,0.25540276716747307
2020-08-01,11,4,0.2707873825520884
2020-08-02,10,1,0.2829973947621006
2020-08-03,17,4,0.2698105815752875
2020-08-04,13,4,0.24362010538481127
2020-08-05,13,4,0.22228429833471847
2020-08-06,13,4,0.24609382214424227
2020-08-07,24,2,0.2339089481946624
2020-08-08,28,6,0.20473122936177116
2020-08-09,15,4,0.1760813078547068
2020-08-10,20,3,0.13212526389866283
2020-08-11,29,3,0.1535538353272343
2020-08-12,28,3,0.13246539995308462
2020-08-13,32,0,0.11222730471498941
2020-08-14,30,7,0.10304363124560166
2020-08-15,30,2,0.10138483965014575
2020-08-16,24,3,0.09213198596629933
2020-08-17,70,6,0.10120228075087982
2020-08-18,98,9,0.07543197262763053
2020-08-19,118,5,0.07824115385407794
2020-08-20,126,8,0.0725420657081813
2020-08-21,170,9,0.07199307418174615
2020-08-22,139,12,0.07290415289894732
2020-08-23,94,8,0.07906089634382636
2020-08-24,171,14,0.08586361743226172
2020-08-25,112,11,0.09366157532509627
2020-08-26,117,10,0.10126213939211508
2020-08-27,90,10,0.11108210665889086
2020-08-28,93,10,0.11383242815551632
2020-08-29,86,12,0.12361133972014217
2020-08-30,39,6,0.12605334216214462
2020-08-31,89,9,0.1260533421621446
2020-09-01,66,11,0.1389315617170333
2020-09-02,78,8,0.14790957152560788
2020-09-03,126,14,0.15288572744516005
2020-09-04,86,17,0.15884766278109216
2020-09-05,84,17,0.1625106664440958
2020-09-06,53,10,0.17673403173129087
2020-09-07,63,9,0.19604225253204896
2020-09-08,104,20,0.1968587399468809
2020-09-09,94,19,0.2004789999320631
2020-09-10,134,33,0.20923910774877472
2020-09-11,118,24,0.21644999210251623
2020-09-12,101,23,0.21067728379816233
2020-09-13,48,12,0.20693417899122774
2020-09-14,150,29,0.21080741302660072
2020-09-15,158,24,0.21360500480724337
2020-09-16,108,19,0.21267874277522478
2020-09-17,139,38,0.21652489662137864
2020-09-18,148,33,0.2128261147830619
2020-09-19,113,25,0.2312437124446339
2020-09-20,65,18,0.23437728910762232
2020-09-21,215,36,0.21913234220799915
2020-09-22,146,41,0.21108858416424112
2020-09-23,187,37,0.2271020692042748
2020-09-24,132,22,0.23689227899448456
2020-09-25,168,28,0.243275043516784
2020-09-26,126,42,0.23150229788885243
2020-09-27,55,19,0.21734579353626968
2020-09-28,165,35,0.2191573877391682
2020-09-29,126,25,0.22145373775125424
2020-09-30,162,16,0.19653161937119193
2020-10-01,184,33,0.1857910086305812
2020-10-02,197,36,0.1761646700568742
2020-10-03,214,34,0.16647197002928651
2020-10-04,111,30,0.1670146372386204
2020-10-05,304,44,0.15726653509921393
2020-10-06,337,44,0.14729442484463254
2020-10-07,351,36,0.14465975779866
2020-10-08,459,51,0.13248391491415573
2020-10-09,487,55,0.1252153167977042
2020-10-10,413,58,0.1205407351404357
2020-10-11,254,47,0.1174947966106262
2020-10-12,586,55,0.11491437050078833
2020-10-13,695,68,0.11257677960843723
2020-10-14,837,68,0.10304083320489811
2020-10-15,935,87,0.09282414284545014
2020-10-16,963,93,0.09395460801892477
2020-10-17,1140,84,0.0909662294909779
2020-10-18,599,68,0.09131189539154873
2020-10-19,1130,115,0.08788123856722675
2020-10-20,1274,98,0.08304658407915985
2020-10-21,1267,106,0.08332665388117204
2020-10-22,2028,140,0.08063408511694539
2020-10-23,1897,119,0.07855633507728281
2020-10-24,1745,132,0.07888776000953565
2020-10-25,1014,96,0.08122173227247396
2020-10-26,1777,155,0.08316730945924436
2020-10-27,1691,134,0.0830702910615744
2020-10-28,1610,161,0.0851330195961859
2020-10-29,2081,172,0.08019594051056846
2020-10-30,2369,147,0.07713183610815809
2020-10-31,1432,129,0.07745612200742855
2020-11-01,1913,115,0.07370450493110255
2020-11-02,2098,138,0.07201713061116952
2020-11-03,1877,153,0.07240276765857276
