date,0_39,40_59,60_79,80_89,90_+
2021-02-14,68.71428571428571,209.85714285714286,370.14285714285717,212.28571428571428,58.857142857142854
2021-02-15,70.85714285714286,211.85714285714286,379.7142857142857,208.0,59.285714285714285
2021-02-16,75.28571428571429,217.14285714285714,388.42857142857144,204.85714285714286,58.57142857142857
2021-02-17,79.42857142857143,222.71428571428572,396.7142857142857,207.0,59.0
2021-02-18,80.0,236.14285714285714,408.42857142857144,208.42857142857142,59.714285714285715
2021-02-19,86.57142857142857,246.0,427.85714285714283,217.42857142857142,59.0
2021-02-20,91.14285714285714,254.0,447.14285714285717,229.42857142857142,62.0
2021-02-21,92.28571428571429,259.7142857142857,464.42857142857144,232.42857142857142,60.857142857142854
2021-02-22,93.28571428571429,263.14285714285717,477.57142857142856,238.0,60.714285714285715
2021-02-23,97.57142857142857,277.57142857142856,490.85714285714283,249.14285714285714,62.142857142857146
2021-02-24,99.85714285714286,293.14285714285717,510.85714285714283,257.14285714285717,64.42857142857143
2021-02-25,106.14285714285714,299.14285714285717,524.1428571428571,262.0,67.0
2021-02-26,103.71428571428571,308.14285714285717,536.7142857142857,264.57142857142856,69.42857142857143
2021-02-27,108.14285714285714,320.57142857142856,561.1428571428571,274.2857142857143,70.14285714285714
2021-02-28,115.57142857142857,334.2857142857143,580.4285714285714,289.2857142857143,73.71428571428571
2021-03-01,118.42857142857143,349.85714285714283,602.0,302.14285714285717,74.14285714285714
2021-03-02,119.85714285714286,359.42857142857144,626.2857142857143,313.85714285714283,77.71428571428571
2021-03-03,126.0,367.0,648.5714285714286,313.14285714285717,77.71428571428571
2021-03-04,125.71428571428571,373.0,661.8571428571429,321.85714285714283,80.42857142857143
2021-03-05,129.14285714285714,386.14285714285717,684.8571428571429,337.14285714285717,81.14285714285714
2021-03-06,130.0,397.57142857142856,699.1428571428571,340.0,82.28571428571429
2021-03-07,130.57142857142858,409.42857142857144,719.8571428571429,342.0,81.28571428571429
2021-03-08,131.0,414.85714285714283,730.8571428571429,345.2857142857143,83.28571428571429
2021-03-09,135.71428571428572,426.2857142857143,742.0,342.2857142857143,82.42857142857143
2021-03-10,136.85714285714286,439.85714285714283,752.2857142857143,351.85714285714283,86.0
2021-03-11,137.28571428571428,451.14285714285717,769.8571428571429,358.0,84.85714285714286
2021-03-12,134.57142857142858,461.7142857142857,784.5714285714286,359.85714285714283,88.0
2021-03-13,135.71428571428572,465.42857142857144,799.0,367.2857142857143,91.0
2021-03-14,133.57142857142858,470.7142857142857,799.4285714285714,371.0,92.42857142857143
2021-03-15,135.71428571428572,470.0,807.4285714285714,369.57142857142856,95.14285714285714
2021-03-16,134.0,467.14285714285717,807.8571428571429,374.0,96.57142857142857
2021-03-17,130.71428571428572,464.0,810.0,373.57142857142856,96.71428571428571
2021-03-18,134.0,463.7142857142857,811.8571428571429,368.2857142857143,101.28571428571429
2021-03-19,137.28571428571428,458.14285714285717,802.5714285714286,364.2857142857143,100.42857142857143
2021-03-20,133.14285714285714,452.42857142857144,786.5714285714286,362.2857142857143,97.71428571428571
2021-03-21,134.42857142857142,443.0,781.5714285714286,356.85714285714283,99.28571428571429
2021-03-22,133.42857142857142,444.57142857142856,787.0,357.42857142857144,98.57142857142857
2021-03-23,130.57142857142858,445.14285714285717,797.8571428571429,351.7142857142857,99.0
2021-03-24,127.71428571428571,438.14285714285717,792.7142857142857,349.0,100.14285714285714
