date,incidence,incidence_7_days_moving_average
2020-09-29,2228,2307.0
2020-09-30,2492,2425.4285714285716
2020-10-01,2893,2754.5714285714284
2020-10-02,3152,3110.1428571428573
2020-10-03,2422,3508.1428571428573
2020-10-04,1647,3944.4285714285716
2020-10-05,4448,4450.857142857143
2020-10-06,4717,4937.571428571428
2020-10-07,5278,5158.0
2020-10-08,5947,5840.714285714285
2020-10-09,6697,6608.428571428572
2020-10-10,5829,7436.428571428572
2020-10-11,3190,8262.857142857143
2020-10-12,9227,9213.0
2020-10-13,10091,10011.857142857143
2020-10-14,11074,10424.285714285714
2020-10-15,11732,11571.57142857143
2020-10-16,13348,12872.285714285714
2020-10-17,11421,14470.714285714286
2020-10-18,6077,16183.57142857143
2020-10-19,17258,17948.714285714286
2020-10-20,19196,19125.0
2020-10-21,22263,19785.0
2020-10-22,23722,21333.428571428572
2020-10-23,25704,23022.85714285714
2020-10-24,19655,24624.0
2020-10-25,10697,25900.428571428572
2020-10-26,28097,27218.428571428572
2020-10-27,31022,27995.428571428572
2020-10-28,33471,28341.14285714286
2020-10-29,32657,29289.428571428572
2020-10-30,34930,30202.571428571428
2020-10-31,25094,31272.714285714286
2020-11-01,13117,32259.85714285714
2020-11-02,34735,33186.28571428572
2020-11-03,37414,33819.42857142857
2020-11-04,40962,34105.71428571428
2020-11-05,39567,34544.42857142857
2020-11-06,41415,34902.0
2020-11-07,29526,34588.42857142857
2020-11-08,15121,34384.42857142857
2020-11-09,37806,34041.28571428572
2020-11-10,39917,33835.0
2020-11-11,38767,33663.71428571428
2020-11-12,38139,33446.71428571428
2020-11-13,39013,33155.142857142855
2020-11-14,28082,32804.0
2020-11-15,13922,32346.85714285714
2020-11-16,36287,31389.714285714286
2020-11-17,37876,30578.14285714286
2020-11-18,36309,30088.571428571428
2020-11-19,34939,28910.85714285714
2020-11-20,32313,27557.85714285714
2020-11-21,22401,26235.285714285714
2020-11-22,10495,24994.85714285714
2020-11-23,28043,23819.0
2020-11-24,28405,23173.285714285714
2020-11-25,27051,22810.428571428572
2020-11-26,26256,21986.571428571428
2020-11-27,24082,21199.571428571428
2020-11-28,17881,20364.714285714286
2020-11-29,7955,19450.85714285714
2020-11-30,22276,18898.0
2020-12-01,22896,18504.85714285714
2020-12-02,21207,18251.428571428572
2020-12-03,19859,17827.85714285714
2020-12-04,20212,15625.285714285714
2020-12-05,15129,15449.42857142857
2020-12-06,6181,15526.857142857143
2020-12-07,19311,15434.57142857143
2020-12-08,7478,15288.285714285714
2020-12-09,19976,15209.857142857143
2020-12-10,20401,15025.714285714286
2020-12-11,19566,16580.571428571428
2020-12-12,14105,16121.857142857143
2020-12-13,5632,15551.857142857143
2020-12-14,18022,15161.42857142857
2020-12-15,18362,14980.0
2020-12-16,16765,15087.142857142857
2020-12-17,16411,14964.285714285714
2020-12-18,16833,15117.0
2020-12-19,12835,15427.42857142857
2020-12-20,6382,15334.285714285714
2020-12-21,17162,13567.857142857143
2020-12-22,19431,12864.142857142857
2020-12-23,18938,13046.714285714286
2020-12-24,15759,13315.285714285714
2020-12-25,4468,13946.285714285714
2020-12-26,7909,14616.42857142857
2020-12-27,7660,15065.285714285714
2020-12-28,19042,15219.142857142857
2020-12-29,23848,16301.0
2020-12-30,23629,16390.14285714286
2020-12-31,18901,16910.285714285714
2021-01-01,5545,16999.285714285714
