age,all,male,female
82.0,0.013813287175165691,0.01960634393568682,0.00966925294765711
83.0,0.015379173092682231,0.02168402559919689,0.011076667494455244
84.0,0.016107403767878455,0.02218235738021792,0.01209132164315941
85.0,0.01777451148415283,0.02435593666553838,0.013633868403119557
86.0,0.02044061308885773,0.02809419921184475,0.015837784577088627
87.0,0.0224903623183105,0.03110479862026986,0.017633668123269806
88.0,0.02408117212416956,0.0329208988816457,0.019336221142771295
89.0,0.025353755213410427,0.034568762068225706,0.020774894226604924
90.0,0.030535894843276037,0.041545808277325784,0.0254115903852486
91.0,0.031949700808861725,0.04465472569561789,0.026519528541714812
92.0,0.033763687146235156,0.045082796289339075,0.029249740693788176
93.0,0.03767723518361093,0.048596069783011064,0.03371011589640864
94.0,0.04012198608596207,0.05250151024218793,0.03604141776184787
95.0,0.04217506154647882,0.05284336800546655,0.03886717830406328
96.0,0.04357372065529471,0.055847921812909464,0.04001742593975604
97.0,0.049109275817350355,0.06467417932386085,0.044997627162517796
98.0,0.04717898832684825,0.057399550786124284,0.04470488733160152
99.0,0.051710006705908654,0.05931198102016608,0.049944913698127064
